'espèce';'semaine';'quantitélb';'pcaliment';'grpoisson'
'PLC';2;9080,00;0,40;
'PLC';3;4540,00;0,30;
'PLC';4;2522,00;0,23;
'PLC';5;1135,00;0,16;
'PLC';6;568,00;0,10;
'PLC';7;324,00;0,10;
'PLC';8;252,00;0,09;
'PLC';9;233,00;0,09;
'PLC';10;216,00;0,08;
'PLC';11;197,00;0,08;
'PLC';12;182,00;0,07;
'PLC';13;142,00;0,07;
'PLC';14;114,00;0,06;
'PLC';15;95,00;0,06;
'PLC';16;81,00;0,05;
'PLC';17;69,00;0,04;
'PLC';18;60,00;0,04;
'PLC';19;52,00;0,03;
'PLC';20;45,00;0,03;
'PLC';21;41,00;0,03;
'PLC';22;37,00;0,03;
'PLC';23;33,00;0,03;
'PLC';24;31,00;0,03;
'PLC';25;28,50;0,02;
'PLC';26;28,00;0,02;
'JUV';19;28,50;0,02;
'PLC';27;27,50;0,02;
'PLP';1;45400,00;0,99;
'PLP';2;9080,00;0,40;
'PLP';3;4540,00;0,30;
'PLP';4;2522,00;0,23;
'PLP';5;1135,00;0,16;
'PLP';6;568,00;0,10;
'PLP';7;324,00;0,07;
'PLP';8;227,00;0,05;
'PLP';9;182,00;0,05;
'JUV';3;324,00;0,10;
'JUV';5;227,00;0,10;
'JUV';1;1135,00;0,16;
'JUV';2;568,00;0,10;
'JUV';4;252,00;0,10;
'JUV';22;27,00;0,02;
'JUV';23;26,50;0,02;
'JUV';24;26,00;0,02;
'PLC';29;26,50;0,02;
'PLC';28;27,00;0,02;
'PLC';31;25,50;0,02;
'JUV';25;25,50;0,02;
'JUV';26;25,00;0,02;
'JUV';29;23,50;0,02;
'PLC';32;25,00;0,02;
'PLC';30;26,00;0,02;
'PLC';33;24,50;0,02;
'JUV';27;24,50;0,02;
'JUV';28;24,00;0,02;
'JUV';32;22,00;0,02;
'JUV';31;22,50;0,02;
'JUV';30;23,00;0,02;
'JUV';33;21,00;0,02;
'PLC';34;24,00;0,02;
'PLC';35;23,50;0,02;
'PLC';36;23,00;0,02;
'PLC';37;22,50;0,02;
'T1';2;87,00;0,08;7,00
'T1';3;59,00;0,07;12,00
'T1';4;44,00;0,06;17,00
'T1';5;35,70;0,05;21,00
'T1';6;29,29;0,05;28,00
'T1';7;24,67;0,04;35,00
'T1';8;21,00;0,04;44,00
'T1';9;16,70;0,04;53,00
'T1';10;13,80;0,03;64,00
'T1';11;11,80;0,03;75,00
'T1';12;10,30;0,02;86,00
'T1';13;9,10;0,02;97,00
'T1';14;8,20;0,02;109,00
'T1';15;7,50;0,02;122,00
'T2';6;11,35;0,04;39,09
'T2';7;9,95;0,04;52,14
'T2';8;8,87;0,04;66,33
'T2';9;7,94;0,04;81,97
'T2';10;7,15;0,04;94,15
'T2';11;6,50;0,04;107,33
'T2';12;5,94;0,03;120,03
'T2';13;5,44;0,03;134,22
'T2';14;4,94;0,03;150,10
'T2';15;4,51;0,02;167,86
'T2';16;4,14;0,02;187,71
'T2';17;3,80;0,02;209,05
'T2';18;3,44;0,02;230,42
'T2';19;3,10;0,02;253,97
'T2';20;2,77;0,02;279,93
'T2';21;2,48;0,02;307,42
'T2';22;2,22;0,01;330,28
'T3';0;2,52;0,03;150,10
'T3';1;2,40;0,02;167,86
'T3';2;2,30;0,02;187,71
'T3';3;2,20;0,02;209,05
'T3';4;2,10;0,02;230,42
'T3';5;2,00;0,02;253,97
'T3';6;1,80;0,02;279,93
'T3';7;1,70;0,02;307,42
'T3';9;1,60;0,01;354,84
'T3';8;1,62;0,01;330,28
'T3';10;1,50;0,01;381,23
'T3';11;1,45;0,01;409,01
'T3';12;1,40;0,01;435,18
'T3';13;1,35;0,01;463,03
'T3';14;1,28;0,01;492,66
'T3';15;1,28;0,01;524,14
'T3';16;1,22;0,01;557,72
'T3';17;1,20;0,01;593,41
'JUV';6;182,00;0,09;
'PLC';1;45400,00;0,99;
'JUV';7;142,00;0,08;
'JUV';8;114,00;0,07;
'JUV';9;95,00;0,06;
'JUV';10;81,00;0,05;
'JUV';11;69,00;0,04;
'JUV';12;60,00;0,04;
'JUV';13;52,00;0,03;
'JUV';14;45,00;0,03;
'JUV';15;41,00;0,03;
'JUV';16;37,00;0,03;
'JUV';17;33,00;0,03;
'JUV';18;31,00;0,03;
'JUV';21;27,50;0,02;
'JUV';20;28,00;0,02;
'PLC';38;22,00;0,02;
'PLC';39;21,00;0,02;
'T1';0;454,00;0,15;1,00
'T1';1;192,00;0,13;3,00
'T3';18;0,00;0,01;631,38
'T3';19;0,00;0,01;671,78
'CAR';19;0,00;0,02;207,00
'CAR';18;0,00;0,02;184,00
'CAR';16;0,00;0,03;140,00
'CAR';17;0,00;0,03;162,00
'CAR';20;0,00;0,02;231,00
'CAR';0;0,00;0,15;1,00
'CAR';1;0,00;0,10;3,00
'CAR';2;0,00;0,08;5,00
'CAR';3;0,00;0,05;7,00
'CAR';4;0,00;0,05;10,00
'CAR';5;0,00;0,05;13,00
'CAR';6;0,00;0,05;17,00
'CAR';7;0,00;0,05;22,00
'CAR';8;0,00;0,05;29,00
'CAR';9;0,00;0,04;37,00
'CAR';10;0,00;0,04;46,00
'CAR';11;0,00;0,04;56,00
'CAR';12;0,00;0,04;69,00
'CAR';13;0,00;0,04;83,00
'CAR';14;0,00;0,04;100,00
'CAR';15;0,00;0,03;120,00
'CAR';21;0,00;0,02;256,00
'CAR';22;0,00;0,02;282,00
'CAR';23;0,00;0,02;309,00
'CAR';24;0,00;0,02;337,00
'CAR';25;0,00;0,02;355,00
'CAR';26;0,00;0,01;393,00
'CAR';27;0,00;0,01;422,00
'CAR';28;0,00;0,01;454,00
'CAR';29;0,00;0,01;480,00
'CAR';30;0,00;0,01;509,00
'CAR';31;0,00;0,01;538,00
'CAR';32;0,00;0,01;567,00
'CAR';33;0,00;0,01;596,00
'CAR';34;0,00;0,01;629,00
'CAR';35;0,00;0,01;654,00
'CAR';36;0,00;0,01;683,00
'CAR';37;0,00;0,01;751,00
'CAR';38;0,00;0,01;860,00
'CAR';39;0,00;0,01;993,00
'CAR';40;0,00;0,01;1150,00
'CAR';41;0,00;0,01;1315,00
'CAR';42;0,00;0,01;1510,00
'CAR';43;0,00;0,01;1813,00
'CAR';44;0,00;0,01;2085,00
'CAR';45;0,00;0,01;2500,00
'CAR';46;0,00;0,01;3000,00
'CAR';47;0,00;0,01;3600,00
'COL';0;0,00;0,07;4,00
'COL';1;0,00;0,06;10,00
'COL';2;0,00;0,06;22,00
'COL';3;0,00;0,05;40,00
'COL';4;0,00;0,04;62,00
'COL';5;0,00;0,04;80,00
'COL';6;0,00;0,04;100,00
'SUP';0;0,00;0,02;200,00
'SUP';1;0,00;0,02;220,00
'SUP';2;0,00;0,02;240,00
'SUP';3;0,00;0,02;260,00
'SUP';4;0,00;0,02;280,00
'SUP';5;0,00;0,02;300,00
'SUP';6;0,00;0,02;320,00
'SUP';7;0,00;0,02;340,00
'SUP';8;0,00;0,02;360,00
'SUP';9;0,00;0,02;380,00
'SUP';10;0,00;0,02;400,00
'COL';7;0,00;0,03;122,00
'COL';8;0,00;0,03;146,00
'COL';9;0,00;0,03;180,00
'COL';10;0,00;0,02;216,00
'COL';11;0,00;0,02;300,00
'COL';12;0,00;0,02;392,00
'COL';13;0,00;0,02;482,00
'COL';14;0,00;0,02;560,00
'COL';15;0,00;0,01;660,00
'COL';16;0,00;0,01;760,00
'T1';16;0,00;0,02;136,00
'T2';23;0,00;0,01;354,84
'T2';24;0,00;0,01;381,23
'T2';25;0,00;0,01;409,01
'T2';26;0,00;0,01;435,18
'T2';27;0,00;0,01;463,03
'T2';28;0,00;0,01;492,66
'T2';29;0,00;0,01;524,18
'T2';30;0,00;0,01;557,72
'T2';31;0,00;0,01;593,41
'T2';32;0,00;0,01;631,38
'T2';33;0,00;0,01;671,78
'COL';17;0,00;0,01;860,00
'T2';1;0,00;0,07;12,00
'T2';2;0,00;0,06;17,00
'T2';3;0,00;0,05;21,00
'T2';4;0,00;0,05;28,00
'T2';5;0,00;0,04;35,00
'SPR';0;0,00;0,15;0,50
'SPR';1;0,00;0,11;2,20
'SPR';2;0,00;0,10;5,00
'SPR';3;0,00;0,09;8,00
'SPR';4;0,00;0,08;15,00
'SPR';5;0,00;0,07;24,00
'SPR';6;0,00;0,07;39,00
'SPR';7;0,00;0,05;61,00
'SPR';8;0,00;0,05;86,00
'SPR';9;0,00;0,05;117,00
'SPR';10;0,00;0,04;144,00
'SPR';11;0,00;0,04;175,00
'SPR';12;0,00;0,04;210,00
'SPR';13;0,00;0,04;245,00
'SPR';14;0,00;0,03;287,00
'SPR';15;0,00;0,03;332,00
'SPR';16;0,00;0,03;380,00
'SPR';17;0,00;0,03;429,00
'SPR';18;0,00;0,03;482,00
'SPR';19;0,00;0,03;538,00
'SPR';20;0,00;0,03;597,00
'SPR';21;0,00;0,03;660,00
'SPR';22;0,00;0,03;723,00
'SPR';23;0,00;0,03;786,00
'SPR';24;0,00;0,03;849,00
'SPR';25;0,00;0,03;898,00
'SPR';26;0,00;0,03;943,00
'SPR';27;0,00;0,03;988,00
